04D3lu 0.822 43.691 0.317
04D3ki 0.93 44.884 0.644
04D3gt 0.451 41.907 0.111
04D3do 0.61 43.068 0.121
04D3cp 0.83 45.007 0.442
04D2gp 0.707 43.496 0.22
04D2fp 0.415 41.919 0.098
04D1ag 0.557 42.856 0.12
03D4fd 0.791 43.497 0.167
03D4cz 0.695 43.34 0.151
03D4at 0.633 43.387 0.172
03D3bh 0.249 40.815 0.16
03D3af 0.532 42.803 0.174
03D1fc 0.331 41.087 0.086
03D1bp 0.346 41.405 0.095
04D4dw 0.961 44.296 0.502
04D4an 0.613 43.106 0.123
04D3nh 0.34 41.41 0.086
04D3lp 0.983 44.132 0.818
04D3is 0.71 43.13 0.162
04D3fq 0.73 43.469 0.142
04D3df 0.47 42.444 0.121
04D3co 0.62 43.264 0.121
04D2gc 0.521 42.405 0.141
04D2cf 0.369 41.668 0.099
03D4gl 0.571 42.622 0.149
03D4dy 0.604 42.574 0.11
03D4cy 0.927 44.998 0.576
03D4ag 0.285 40.907 0.099
03D3ba 0.291 40.891 0.097
03D1gt 0.548 42.789 0.167
03D1ew 0.868 44.144 0.652
03D1ax 0.496 42.405 0.13
04D4dm 0.811 44.269 0.368
04D3oe 0.756 43.905 0.171
04D3nc 0.817 43.716 0.292
04D3ks 0.752 43.305 0.15
04D3hn 0.552 42.526 0.121
04D3fk 0.358 41.507 0.099
04D3dd 1.01 44.877 0.86
04D2ja 0.741 43.684 0.133
04D2gb 0.43 42.018 0.108
04D1ak 0.526 42.82 0.117
03D4gg 0.592 42.657 0.172
03D4di 0.905 43.827 0.386
03D4cx 0.949 43.608 0.436
03D3cd 0.461 42.134 0.272
03D3ay 0.371 41.679 0.097
03D1fq 0.8 44.709 0.549
03D1co 0.679 43.577 0.151
03D1aw 0.582 43.004 0.163
04D4bq 0.55 42.54 0.129
04D3ny 0.81 43.928 0.482
04D3ml 0.95 43.913 0.454
04D3kr 0.337 41.328 0.086
04D3gx 0.91 44.631 0.357
04D3ez 0.263 40.775 0.086
04D3cy 0.643 43.163 0.13
04D2iu 0.691 43.295 0.142
04D2fs 0.357 41.474 0.097
04D1aj 0.721 43.27 0.171
03D4gf 0.581 42.969 0.12
03D4dh 0.627 42.878 0.123
03D4cn 0.818 43.727 0.553
03D3aw 0.449 42.082 0.121
03D1fl 0.688 43.226 0.153
03D1cm 0.87 44.264 0.461
03D1au 0.504 42.466 0.108
b010 0.591 43.525 0.241
b013 0.426 41.95 0.179
b016 0.329 41.465 0.27
d033 0.531 43.269 0.273
d058 0.583 42.7 0.468
d084 0.519 43.242 0.419
d085 0.401 41.762 0.231
d087 0.34 41.259 0.225
d089 0.436 42.014 0.197
d093 0.363 41.586 0.183
d097 0.436 42.054 0.185
d117 0.309 41.432 0.183
d149 0.342 41.486 0.177
e029 0.332 41.346 0.193
e108 0.469 42.268 0.196
e132 0.239 40.573 0.166
e136 0.352 41.549 0.193
e138 0.612 42.212 0.837
e140 0.631 42.713 0.244
e147 0.645 43.028 0.205
e148 0.429 42.005 0.197
e149 0.497 42.239 0.202
f011 0.539 42.528 0.213
f041 0.561 42.771 0.223
f076 0.41 41.477 0.194
f096 0.412 41.827 0.335
f216 0.599 43.036 0.261
f231 0.619 43.108 0.223
f235 0.422 41.843 0.216
f244 0.54 42.742 0.224
f308 0.401 42.205 0.312
g005 0.218 40.4 0.173
g050 0.633 42.362 0.272
g052 0.383 41.781 0.211
g055 0.302 41.553 0.327
g097 0.34 41.242 0.177
g120 0.51 42.05 0.231
g133 0.421 42.044 0.207
g142 0.399 41.786 0.306
g160 0.493 42.252 0.202
g240 0.687 43.024 0.253
h283 0.502 42.014 0.433
h300 0.687 42.982 0.227
h319 0.495 42.347 0.226
h323 0.603 42.794 0.243
h342 0.421 42.22 0.27
h359 0.348 41.664 0.177
h363 0.213 40.393 0.186
h364 0.344 41.258 0.177
k396 0.271 40.681 0.182
k411 0.564 42.579 0.373
k425 0.274 40.904 0.19
k430 0.582 43.407 0.254
k441 0.68 42.941 0.224
k448 0.401 42.016 0.212
k485 0.416 41.715 0.321
m027 0.286 41.487 0.35
m062 0.314 41.166 0.263
m138 0.581 43.873 0.357
m158 0.463 42.062 0.243
m193 0.341 41.281 0.186
m226 0.671 42.233 0.408
n256 0.631 43.117 0.206
n258 0.522 42.85 0.292
n263 0.368 41.597 0.177
n278 0.309 40.991 0.185
n285 0.528 42.623 0.376
n326 0.268 40.92 0.175
p454 0.695 43.087 0.436
p455 0.284 40.965 0.175
p524 0.508 42.296 0.188
p528 0.781 43.535 0.459
p534 0.613 42.613 0.612
sn01G 0.017 34.285 0.218
sn01ah 0.058 37.092 0.153
sn01az 0.041 36.355 0.175
sn01bf 0.015 34.059 0.229
sn01cp 0.022 35.447 0.19
sn01da 0.016 34.443 0.224
sn01eh 0.036 36.18 0.16
sn02bf 0.025 35.01 0.18
sn02ck 0.03 35.661 0.17
sn02de 0.028 35.675 0.174
sn02do 0.015 34.315 0.23
sn02G 0.035 36.077 0.18
sn02hd 0.036 35.757 0.167
sn02he 0.025 35.311 0.181
sn02hu 0.038 36.15 0.158
sn02hw 0.016 34.59 0.221
sn02jy 0.02 35.169 0.197
sn02kf 0.019 34.912 0.2
sn03U 0.028 35.463 0.173
sn03W 0.021 34.757 0.192
sn03ch 0.03 35.826 0.169
sn03cq 0.034 36.024 0.169
sn03fa 0.039 36.212 0.157
sn03ic 0.054 36.685 0.157
sn03it 0.024 35.358 0.185
sn03iv 0.034 36.104 0.165
sn04as 0.032 36.021 0.166
sn04bg 0.022 35.091 0.193
sn04L 0.033 36.074 0.172
sn05eq 0.028 35.726 0.171
sn05eu 0.034 36.088 0.163
sn05hc 0.045 36.634 0.153
sn05hj 0.057 37.24 0.162
sn05iq 0.033 36.166 0.165
sn05ir 0.075 38.109 0.172
sn05ki 0.021 34.864 0.194
sn05ls 0.021 34.846 0.195
sn05lz 0.04 36.432 0.157
sn05mc 0.026 35.518 0.176
sn05ms 0.026 35.489 0.176
sn05mz 0.017 34.628 0.215
sn05na 0.027 35.417 0.174
sn06ac 0.024 35.21 0.183
sn06al 0.069 37.691 0.148
sn06an 0.065 37.4 0.152
sn06ar 0.023 35.305 0.186
sn06ax 0.018 34.524 0.208
sn06az 0.032 35.806 0.165
sn06bq 0.021 35.053 0.191
sn06bt 0.033 35.981 0.164
sn06bu 0.084 38.143 0.19
sn06bz 0.028 35.638 0.174
sn06cc 0.033 36.209 0.163
sn06cf 0.042 36.436 0.155
sn06cj 0.068 37.784 0.161
sn06cp 0.023 34.977 0.184
sn06cq 0.049 36.907 0.161
sn06ej 0.019 34.962 0.202
sn06en 0.031 35.953 0.167
sn06et 0.021 35.128 0.193
sn06gj 0.028 35.849 0.175
sn06gr 0.034 36.023 0.162
sn06kf 0.021 35.001 0.194
sn06le 0.017 34.348 0.212
sn06mo 0.036 36.306 0.16
sn06nz 0.037 36.267 0.162
sn06oa 0.059 37.025 0.148
sn06ob 0.058 37.146 0.149
sn06on 0.069 37.591 0.163
sn06os 0.032 35.844 0.169
sn06qo 0.03 35.746 0.168
sn06S 0.033 36.036 0.165
sn06sr 0.023 35.272 0.185
sn06td 0.015 34.535 0.231
sn06te 0.032 35.996 0.166
sn07ae 0.064 37.233 0.162
sn07ai 0.032 36.008 0.167
sn07au 0.02 34.916 0.197
sn07bc 0.022 35.003 0.19
sn07bd 0.032 35.736 0.164
sn07ca 0.015 34.687 0.229
sn07ci 0.019 34.656 0.202
sn07co 0.027 35.415 0.174
sn07cq 0.025 35.09 0.18
sn07F 0.024 35.37 0.181
sn07O 0.036 36.17 0.162
sn07qe 0.023 35.275 0.18
sn07R 0.031 36.087 0.175
sn08L 0.019 34.457 0.204
sn08bf 0.026 35.177 0.178
